N,PDR_mean,loss_mean,delay_mean_ms,throughput_mean_bps,n_runs
5,0.9994444444444444,0.0005555555555555683,4.780240108132067,3997.777777777778,3
10,0.9997222222222222,0.0002777777777777842,4.9031156351534,7997.777777777777,3
20,0.9998611111111111,0.0001388888888888736,5.340205575977967,15997.77777777778,3
30,0.9990740740740741,0.0009259259259259226,5.716276597712966,23977.77777777778,3
40,0.9977083333333333,0.002291666666666655,6.435281827955233,31926.666666666668,3
