N,PDR_mean,PDR_std,delay_mean_ms,delay_std_ms,n_runs
5,1.0,0.0,4.41354367333334,0.1028932564467874,5
10,1.0,0.0,4.38314367333332,0.05468292441175691,5
20,1.0,0.0,4.40127700666666,0.06296806950971029,5
30,1.0,0.0,4.48062811777776,0.10264812049898135,5
40,1.0,0.0,4.519157006666661,0.12240426780869919,5
