node,tx_energy_mJ,rx_energy_mJ,idle_energy_mJ,analytical_total_mJ,measured_total_mJ,match_pct
gateway,0.256824,6.629601600000001,76.65011712,83.53654272000001,,
hvac1,0.0,0.08723159999999999,76.79811072,76.88534231999999,84.10331591463981,91.41773006671264
motion1,0.7704719999999999,0.0,76.7811072,77.55157919999999,83.98156678867261,92.34357272131783
smoke1,0.64206,0.0,76.784256,77.426316,84.0021011844602,92.1718801175932
temp1,0.7704719999999999,0.0,76.7811072,77.55157919999999,83.9815667942112,92.34357271522777
