L,PDR_mean,delay_mean_ms,mac_frames_per_app_pkt,energy_per_packet_mJ,n_runs
20,1.0,3.4570636733333395,1.0,1.4968109733731834,5
50,0.9993055555555556,4.42115466830042,1.0,2.096918169634499,5
100,0.9993055555555556,9.4418494017267,2.0180555555555557,4.0274196129476305,5
200,0.9993055555555556,16.2417693504146,3.0375,6.950324137393581,5
400,0.9965277777777779,30.3184821572224,5.0777777777777775,12.849442803714629,5
